Title																				,Podficcer,Author,Ship,Link
Breath Mints / Battle Scars,AMP Audiobooks,Onyx & Elm,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/5VLs0PBgIKXjDiHngIWU0d?si=24444784b03445bd
Breath Mints / Battle Scars,The Dramione Archives,Onyx & Elm,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/19NrDUPXDKTCyhaRhXED4j?si=5b8ee943ec664883
Breath Mints / Battle Scars,AuroraVale,Onyx and Elm,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/2uBn9ksqP3LiRw5OTt34MZ?si=89c6a376c78b4332
Brewed out of Control,EllaMcSmellBella,RockingRobin,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50385646
Bring Him to His Kness,ETL_Echo_Audiobooks,Musyc,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/40899828
Bruises,picascribit,picascribit,Aberforth Dumbledore,https://archiveofourown.org/works/924651
Burning Day: A Tale of Rebirth,fire_juggler,tealeaf523,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/8016616
Business Meetings,smirkingcat,Lomonaaeren,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/10503966
By Any Other Name,sweaters_in_the_summer,stellates,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/53271664
By Chance,Podfics by Juuls,rosestone,Dudley Dursley/Harry Potter,https://archiveofourown.org/works/39410010
Caesura - TTS,BurningAurora,ImpishTubist,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44088223
Caged,EllaMcSmellBella,danpuff,Harry Potter/Severus Snape,https://archiveofourown.org/works/44581432
Cake,lazulus,astolat,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/7805179
"calamitous love, insurmountable gried",Dramione Podfics,,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/3UyIjkML0ZSuAAhYrC92Ui?si=8ffe37960a69439d
"Call Me, Won't YOu?",ETL_Echo_Audiobooks,Aelys_Althea,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50435704
Can't Fight The Moonlight,sweaters_in_the_summer,sunsetmog,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50373079
Can't Look at the Stars (Halloween 1981),peaceinpanem,BrigidFaye,Sirius Black/Remus Lupin,https://archiveofourown.org/works/51236122
Can't Take The Sky,JocundaSykes,Cluegirl,Harry Potter/Severus Snape,https://archiveofourown.org/works/52632856
Capture Rate,EllaMcSmellBella,"ChaosAndCrumpets, Saberspooky, slytherindiaries",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/50142019
Cards Against the Ministry,nocturn,storyofeden,Hermione Granger/Nymphadora Tonks,https://archiveofourown.org/works/52170586
Care of Magical Creatures,Cailynwrites,Arsenic,Hermione Granger/Remus Lupin,https://archiveofourown.org/works/53209801
Carpe Piscis,EllaMcSmellBella,tygermine,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41828163
Cassiopeia Lily Malfoy,sweaters_in_the_summer,GallaPlacidia,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41582433/chapters/104297208
Cassiopeia Lily Malfoy,sweaters_in_the_summer,GallaPlacidia,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41582433/chapters/104297208
Cat's Eyes and Rosebuds,RoastedOats,daemonbreath,Theodore Nott & Harry Potter,https://archiveofourown.org/works/46547134/chapters/117212161
Catch and Release,fire_juggler,Roozette,Harry Potter/Severus Snape,https://archiveofourown.org/works/309650
Cathexis,Queenie_Mab,WeasleyWench,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/883912
Celestial Navigation,lumosauxnight,violet_storms,Cho Chang/Luna Lovegood/Ginny Weasley,https://archiveofourown.org/works/41716767
Chained to the Moon - TTS,BurningAurora,MsAlexWP,Sirius Black/Remus Lupin,https://open.spotify.com/episode/3WgrifeRe7QFm5lQIXE0CR?si=277f732effb6466b
"Charlie's Demons: Part 1, Antithesis",RoastedOats,DisorganizedKitten,Barty Crouch Jr./Percy Weasley,https://archiveofourown.org/works/43872183
"Charlie's Demons: Part 2, Aquaintance",RoastedOats,DisorganizedKitten,Charlie Weasley,https://archiveofourown.org/works/43883626
Chase,wilfriede0815,triggerlil,Cho Chang/Ginny Weasley,https://archiveofourown.org/works/46999906
Chasing Stars,smirkingcat,keyflight790,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/21466732
Chocolate Cocks and How to Make Them,ETL_Echo_Audiobooks,drarryruinedme7,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51008737
Choice and Chance,ETL_Echo_Audiobooks,ChaosAndCrumpets,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/47130091
Choices,Evan,MesserMoon,Regulus Black/James Potter,https://open.spotify.com/episode/7D7ohi8DbduHEwpCDIvoTJ?si=a00aa5c65d0f4a24
Choices,Jules,MesserMoon,Regulus Black/James Potter,https://open.spotify.com/show/3hkblroxFdYElSivOVWCjG?si=7d5b955af5734a7c
Choices,Seralina Films,MesserMoon,Regulus Black/James Potter,https://www.youtube.com/watch?v=D6Fu7To0QhI&list=PLsONp1c3iZ3o5ihKk34GgLCa0ADr2fHlA&ab_channel=SeralinaFilms
Choices,YourMomsLibrary,MesserMoon,Regulus Black/James Potter,https://open.spotify.com/episode/29U9rNJuvIQnyQi0wxVKiC?si=e6ab73f5d1d54daa
Choices and Changes,lalaspodfics,Dahlia_Rose_83,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/45710158/chapters/115031023
Christmas Collection,BurningAurora,pixelated (prettyremus'),Sirius Black/Remus Lupin,https://archiveofourown.org/works/43781524
Christmas in March,RattleandHum,sebastianL,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/35846569
Chuck Norris Isn't A Man With A Beard. He's A Beard With A Man,"Annapods, Arioch, clachnaben, growlery, idellaphod, KD reads, Podfic_Chicklet_Multipods, podfic_lover, the24thkey, thriceandonce, Vaysh, xan_reads",SDK,Millicent Bulstrode/Ginny Weasley,https://archiveofourown.org/works/22395307
Cinnamon Rolls,"podfic_lover, Pods and Filks by (SerenaEW), robinfaipods (Robin_Fai), thriceandonce (sylvaine)",WiCeBa,Harry Potter/Severus Snape,https://archiveofourown.org/works/50861260
Citation Formatting and Other Love Languages,RattleandHum,HeyJude19,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/35360347
Codename: Daffodil,JocundaSykes,Frumpologist,Narcissa Black Malfoy,https://archiveofourown.org/works/44017788
Coffee,fire_juggler,writcraft,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/3784690
Coffee Cup,smirkingcat,keyflight790,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/21466879
Colour My World,fire_juggler,kelly_chambliss,Amelia Bones/Poppy Pomfrey,https://archiveofourown.org/works/2322107
come take a sip,wilfriede0815,nans_bits_and_bobs (nanneramma),Celestina Warbeck/Ginny Weasley,https://archiveofourown.org/works/50272810
Coming Across a Silver Moon - TTS,BurningAurora,sliebman10,Sirius Black/Remus Lupin,https://open.spotify.com/episode/6RvyhxfeHP8gu5fnwD6UVN?si=8d8ecc0522294e89
commit this to memory,ETL_Echo_Audiobooks,skitter,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41115696
Common Ground,ETL_Echo_Audiobooks,Kyonomiko,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43513084
Common Ground,EllaMcSmellBella,tofadeawayagain,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41703831
"Common Spaces, Empty Places",ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41138973
Conduct (Un)Becoming,JocundaSykes,Leela,Kingsley Shacklebolt/Charlie Weasley,https://archiveofourown.org/works/36297412
"consumed, obsessed, and attached",ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41138451
Contracts with a Side of Pancakes,TrillbySkinner,asongstress1422,Hermione Granger/Draco Malfoy,https://archive.org/details/cwsp-1
Convergence on a Winter Night,Cailynwrites,inmyownlittlecorner,Severus Snape/Ted Tonks,https://archiveofourown.org/works/51957802
Cool Hand Granger,ETL_Echo_Audiobooks,pacificrimbaud,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41814819
Criminal,Melcarrianna,The_Sinking_Ship,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/39616749/chapters/99172662
Crimson Rivers,anoaudio,zeppazariel,Regulus Black/James Potter,https://www.youtube.com/@anoaudio/videos
Crimson Rivers,clara,zeppazariel,Regulus Black/James Potter,https://open.spotify.com/episode/54k5B3Z1goT8bmX7vg0YEe?si=ee3365925a934a5c
Crimson Rivers,Crimson Rivers Audiobook,zeppazariel,Regulus Black/James Potter,https://open.spotify.com/episode/3vzmacJ6jjgDw5UlBnbJHU?si=c90a8b3b22f747de
Crimson Rivers,Laura,zeppazariel,Regulus Black/James Potter,https://open.spotify.com/episode/5SuVwH8uS73CiQRrO9dG0u?si=f66757d22e5f41d7
Crimson Rivers,Moony Whore,zeppazariel,Regulus Black/James Potter,https://open.spotify.com/episode/42AbYV8SNZoIxrMCGpLjNI?si=4e9710d625bd4391
Crumbling Bricks,M+G Bonus Readings,caitlincheri28,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/5I3WUjkQIzHfhjt3Xu8aNB?si=059cd5b2516f4ce4
Cursed,M+G Readings,Lucid,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/7qyPjYSlmKeFSegW6jWCoU?si=8ecd875702e94c4f
Da Capo - TTS,BurningAurora,ImpishTubist,Sirius Black/Remus Lupin,https://archiveofourown.org/works/43536402
da mi basia mille,BurningAurora,scioscribe,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44985577
Dad Says,Gallapod,Gallapod,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/1jeezaEwqj8okiGVrqj0vW?si=1fdf3bd4bbc94e39
Dance With Me,EllaMcSmellBella,Enigmaticrose4,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41703999
Dance With Your Fear,seeking_semperfiona,cdav,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/27284389
"dancing bears, painted wings",EllaMcSmellBella,LovesBitca9,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43407670
Dapper,fire_juggler,writcraft,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/6180571
Dark Anomalies,EllaMcSmellBella,Spork_in_the_Road,Hermione Granger/Tom Riddle,https://archiveofourown.org/works/41780211
Dark Livestream,keitaro,Anna_Hopkins,Harry Potter/Tom Riddle | Voldemort,https://archiveofourown.org/works/52153540/chapters/131913700
Dead Man Walking,SerenaEW,Trueliarose,Harry Potter/Severus Snape,https://archiveofourown.org/works/53614051
Deadheading the Odd Dahlia,ETL_Echo_Audiobooks,peachpety,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50179858
"Dear Cousin, Love Regulus",reveriepi,"LLAP115, XxTheDarkLordxX",Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50537506/chapters/127669255
Dearly Detested - TTS,BurningAurora,Magnoliacrescentt,Sirius Black/Remus Lupin,https://archiveofourown.org/works/43930983
Decisions,JocundaSykes,Arsenic,Kingsley Shacklebolt/Severus Snape,https://archiveofourown.org/works/36131758
"Deep, Deeply",SEP FanFic Readings,vannminner,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/53868187
Dépaysement,ETL_Echo_Audiobooks,setissma,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41116338
Desk Duty,wilfriede0815,mosylu,Irma Pince,https://archiveofourown.org/works/47297836
Detention,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/5MjXlJRmRmkHsQ9Ipf0xd8?si=XEHnmS5gQXqJCB71qTI6Hw
Detraquee,Karma Cookie,Hystaracal,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/42821133/chapters/107572671
Devour the One You Love,Cailynwrites,starlitsilvereyes,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/48903826
Diary,EllaMcSmellBella,EllaMcSmellBella,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/44416951
Dies Sominum,The Dramione Archives,dittanyanddreams,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/4ofUF0Yf9AtDK6ldzGjPC7?si=d44eb1957c2d4ffe
Dirtynumbangelboy,RattleandHum,magpie_fngrl,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/36733615/chapters/91635904
Dissonance,BurningAurora,ImpishTubist,Sirius Black/Remus Lupin,https://archiveofourown.org/works/43725022
Divination and Deviation,Snamione Reads,SallySlytherin,Hermione Granger/Severus Snape,https://open.spotify.com/episode/4Mgy1pd3jKJBkj17mzeQp3?si=4b9d11b3aa534ebf
Domestic Bliss,wilfriede0815,gracerene,Pansy Parkinson/Rose Weasley,https://archiveofourown.org/works/52355560
Draco Malfoy and the Heir of Slytherin (Mirror of Ecidyrue series),Starseeker,Starbrigid,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/4pgUr9dmte0LBUbFEOnWxP?si=47dcfd0c61ac48fa
Draco Malfoy and the House of Black (Mirror of Ecidyrue series),Starseeker,Starbrigid,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/3l6C65TPseasvXh9vCm9ns?si=ad08c4ba136541a2
Draco Malfoy and the Mirror of Ecidyrue,Starseeker,Starbrigid,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/4Z9X083wXCosnfs138bdV0?si=f4542be2602541a7
Draco Malfoy and the Mortifying Ordeal of Being in Love,ETL_Echo_Audiobooks,isthisselfcare,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/52453691
Draco Malfoy and the Mortifying Ordeal of Being in Love,meems_toanend,isthisselfcare,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/49531444/chapters/125010583
Draco Malfoy and the Mortifying Ordeal of Being in Love,SEP FanFic Readings,isthisselfcare,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/7eYyUTHIrv2XizTcFtzZiX?si=885099b72ab64c13
Draco Malfoy and the Talon Brand (Mirror of Ecidyrue series),Starseeker,Starbrigid,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/7qdBmSjbDiXfkFrsBo1Obq?si=82ddc46f9afb41df
Draco Malfoy and the Wheel of Hecate (Mirror of Ecidyrue series),Starseeker,Starbrigid,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/1NohxdSlII19NK9tPajFkW?si=fa8e47221b234c58
"Draco, Merrily On High",ETL_Echo_Audiobooks,blythely,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52139434
Dragon Whiskers,ETL_Echo_Audiobooks,sarena,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/43390884
Dragonfire Biscuits,picascribit,picascribit,Neville Longbottom/Harry Potter/Ginny Weasley,https://archiveofourown.org/works/1107095
Dragonhide Trousers Required,ETL_Echo_Audiobooks,glittering_git ,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/41207235
Drain Him Dry,DemonFeedAudio,maraudersaffair,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50244055
Dream Weaver,inmyownlittle_podfic_corner,emotionalsupporthufflepuff,Luna Lovegood/Draco Malfoy,https://archiveofourown.org/works/45153931
drops in the bucket,kitartpods,xslytherclawx,Percy Weasley,https://archiveofourown.org/works/50040166
Dubious and Poison - TTS,BurningAurora,her_smile_forges_galaxies,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44026816
Dusk - TTS,BurningAurora,TherestheSnitch,Sirius Black/Remus Lupin,https://archiveofourown.org/works/38293408/chapters/95684470
Dwelling on Dreams,reveriepi,The_Sinking_Ship,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/52660102/chapters/133201666.
Early,JocundaSykes,orphan_account,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/31907275
Egg Hunt,fire_juggler,Tryslora,Marcus Flint/Percy Weasley,https://archiveofourown.org/works/7504960
Egyptology 101,EllaMcSmellBella,tygermine,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41703792
"Eleven Times Remus Said No, and One Time He Said Yes - TTS",BurningAurora,R33sesPieces,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44878285
Embers and Soot,"blackglass, dreamquaffle, horchatapods, InklingDancer, irrationalpie, JocundaSykesEncore, LenaReads (LenaLawlipop), lyraonyx, Mangacat, Podfics by Juuls (Juulna), Pods and Filks by (SerenaEW), SerenaEW, v0lumnius, with (wilfriede0815)",,* a capella song*,https://archiveofourown.org/works/52454990
Empty Burrow,Cailynwrites,copperbadge,Arthur Weasley/Molly Weasley,https://archiveofourown.org/works/53571133
Endgame,JocundaSykes,JocundaSykes,Harry Potter/Severus Snape,https://archiveofourown.org/works/52878076
Enigma Variations - TTS,BurningAurora,Coriaria,Sirius Black/Remus Lupin,https://archiveofourown.org/works/45205444
Entangled,Static_Whisper,,Neville Longbottom/Ron Weasley,https://archiveofourown.org/works/38852691
Epistolary Arrangements,DontStopHerPodfics,DontStopHerNow,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/48968776
Erosmancy,lazulus,astolat,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/7804927
Escape,EllaMcSmellBella,Misdemeanor1331,Neville Longbottom/Pansy Parkinson,https://archiveofourown.org/works/44455312
Escaping Fred Weasley's Magical Mistletoe,Cailynwrites,PTwritesmore,Hermione Granger/Fred Weasley,https://archiveofourown.org/works/52163563
Evergreen,Once Upon a Fanfic,peachykeenjellybean,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/6KvWpE9WEBjlDktADVgJ38?si=6b83a08a24b04cac
"Every Leaf That Unfurls, Every Petal That Blooms",micha_making_podfics,bafflinghaze,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/4lv9PyUnWQOm3UpsC2n48W?si=c704f6906014464e
Every Little Thing She Does (Is Magic),The Dramione Archives,monsterleadmehome,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/5aG9IZz37aUeyJCKgpg4YP?si=c5e4778fb7ca45ff
Every Man Makes A God Of His Own Desires (Dulcis Puer Meus) - TTS,BurningAurora,greenvlvetcouch,Sirius Black/Remus Lupin,https://archiveofourown.org/works/45728470
Every New Beginning,fencer_x,fencer_x,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51462952/chapters/130054702
Everything but the Kitchen Sink  - TTS,BurningAurora,R33sesPieces,Sirius Black/Remus Lupin,https://archiveofourown.org/works/46753924
Expecto Patronum,Once Upon a Fanfic,Hwllowsandhorcruxes,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/3TTcGGJ7fNPwQaguYRf8qC?si=76d5be0a23e042df
Exposure,Gallapod,Gallapod,Draco Malfoy/Harry Potter,https://open.spotify.com/episode/4UbUstLorTHTvIgkyhkl8v?si=dcc11331945845fd
Eyes in the Darkness - TTS,BurningAurora,meyari,Sirius Black/Remus Lupin,https://open.spotify.com/episode/31SidFpG0Oqq5zTpC2cr5N?si=740fc1d44a014528
Faint of Heart,ETL_Echo_Audiobooks,eevans,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/47464393
Fall,JocundaSykes,arcadian_dream,Fleur Delacour/Ginny Weasley,https://archiveofourown.org/works/22899760
Fallen Marigolds,JocundaSykes,luendland,Harry Potter/Severus Snape,https://archiveofourown.org/works/52609975
Falling,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0dfPp4QV3Sx4ONvO9DSm7t?si=M07ZozrFTtGgohpcPcoOOg
Falling Chandeliers,EllaMcSmellBella,Tygermine,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41703615
"Falling For You, Like Snow On a Christmas Night ",BurningAurora,Engie_Ivy,Sirius Black/Remus Lupin,https://archiveofourown.org/works/43806327
Fast the Night Is Fading,Cailynwrites,snapesnailtape,Lily Evans Potter/Severus Snape,https://archiveofourown.org/works/51983959
fate and plans,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41138862
Feeling Warm,ETL_Echo_Audiobooks,gnarf ,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/43313140
Festive Mood,Cailynwrites,PaulaMcG,Amelia Bones/Molly Weasley,https://archiveofourown.org/works/52303732
Fever Dreaming,FanFixation,mrerens,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/52MzQIQC9QgEMUL6kVjCy9?si=97c4ece567b0466e
Fifty Shades of Granger,M+G Readings,winterwells,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/7iUl8K8irWqceLsD36HW4V?si=c84958971b354158
Figure You Out by MalfoysMuggleMrs,ETL_Echo_Audiobooks,MalfoysMuggleMrs,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/47178901
Final Examination,JocundaSykes,asecretchord,Harry Potter/Severus Snape,https://archiveofourown.org/works/34551859
Finders Keepers,Cailynwrites,Lilian,Harry Potter/Severus Snape,https://archiveofourown.org/works/48639283
Finding Hermione,SEP FanFic Readings,ebookdragon,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/53924101
Finding Neville Longbottom,DontStopHerPodfics,DontStopHerNow,Neville Longbottom/Pansy Parkinson,https://archiveofourown.org/works/46501942
Finding the Center,cosmicology,wasureneba,Hermione Granger/Luna Lovegood,https://archiveofourown.org/works/54025081#main
Finding the Way Home,fire_juggler,Alisanne ,Harry Potter/Severus Snape,https://archiveofourown.org/works/627869
Fire Burning,ETL_Echo_Audiobooks,tryslora,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/42785835
First Burn & Spark,Ashata,fruitcoops,Sirius Black/Remus Lupin,https://archiveofourown.org/works/45115015
First Kiss,JocundaSykes,cordeliadelayne,Kingsley Shacklebolt/Severus Snape,https://archiveofourown.org/works/36297637
First Thoughts,wilfriede0815,devilinthedetails,Fleur Delacour/Bill Weasley,https://archiveofourown.org/works/54180724
Five Days,SEP FanFic Readings,RavieSnake,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/53872171?view_adult=true
Five Little Things,ETL_Echo_Audiobooks,bixgirl1,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/42581982
Five Little Things,RattleandHum,Bixgirl1,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/33764527
Five Reasons Hermione Thinks Luna is Brilliant,Flowerparrish Pods,Perfica,Hermione Granger/Luna Lovegood,https://archiveofourown.org/works/41149431
Five Steps to Surviving Cabin Fever,ETL_Echo_Audiobooks,hippocrates460,Harry Potter/Severus Snape,https://archiveofourown.org/works/48733510
Five Women Neville Longbottom has Loved and Lost,EllaMcSmellBella,Gyzym,Neville Longbottom/Luna Lovegood,https://archiveofourown.org/works/41203920
Flying Dutchman,wilfriede0815,kelly_chambliss,Aberforth Dumbledore/Wilhelmina Grubbly-Plank,https://archiveofourown.org/works/47044444
Focus Potion,ETL_Echo_Audiobooks,fwooshy,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/51133783
Follow the Yellow Brick Road,EllaMcSmellBella,GallifreyisBurning,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50385373
"For here you are, standing there, loving me (whether or not you should) - TTS",BurningAurora,OptimisticDinosaur,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/45362572
For Lack of a Bezoar,TheLastVoice,Bolshevikmuppet99,Hermione Granger/Harry Potter,https://archiveofourown.org/works/39481926/chapters/98818953
For Old Times' Sake,ETL_Echo_Audiobooks,thestarryknight,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/43158603
For Queen & Country,BurningAurora,Quietlemonhush,Sirius Black/Remus Lupin,https://archiveofourown.org/works/47389594
"For those of you who just tuned in, everyone here is a crazy person.",EllaMcSmellBella,GallifreyisBurning,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/50385493
For Want of a Jumper,The Dramione Archives,"elithean, senlinyu",Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/5p3q2Yo4yYG7DjZbBbcwtX?si=02ca4d93dce1417e
For Want of a Jumper,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41138673
Forgot To Mention One Little Thing,BurningAurora,Engie_Ivy,Sirius Black/Remus Lupin,https://archiveofourown.org/works/43743205
Free Falling,EllaMcSmellBella,danpuff,Hermione Granger/Ginny Weasley,https://archiveofourown.org/works/44291948
Friendly Advice,Queenie_Mab,Vaysh11,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/1107294
From Sunset to Star Rise,DontStopHerPodfics,Schmem_14,Harry Potter/Ron Weasley,https://archiveofourown.org/works/43122799
From The Start,The Dramione Archives,sweetestsorrows,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/1RGPIv6uvFS1fGv6XH2jM0?si=a156da1a3cea421f
From Whiltshire With Love,AuroraVale,MistressLynn,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/3MQnlGajnLSfM3iv8rWhQk?si=36cb102ccafc461a
From Whiltshire With Love,Dark Desires Fanfiction Readings,MistressLynn,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/0zrbmQ1GMxT6VDJpeE1FI4?si=ded974a6c779483c
From Whiltshire With Love,Fanfiction for Friends,MistressLynn,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/6i5CQ8YmHQw0XZJziTUmtd?si=b2cc5f1a27f843c7
Fulfilling of the Secret Wish,ETL_Echo_Audiobooks,smirkingcat,Remus Lupin/Draco Malfoy,https://archiveofourown.org/works/52304092
Futile - TTS,BurningAurora,R33sesPieces,Sirius Black/Remus Lupin,https://archiveofourown.org/works/44868421
Game Over,"EleanorPhoenix, Pods and Filks by (SerenaEW)","EleanorPhoenix, Pods and Filks by (SerenaEW)",Harry Potter/Severus Snape,https://archiveofourown.org/works/50859115
Garden War,JocundaSykes,Cibee,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/31214915
Gender Norms and Equality,Dramione Oneshots,,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/1zJ90t9ZatPmLzwI3x3SLi?si=31dc9508ff0940c0
Getting Even,FanFixation,mrsren,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/22bynIwcRayxa43X5TBnPV?si=WsAFH69zRDSv4tY_fsOSGQ
Ghosts in a Wishing Well,The Dramione Archives,namelessamelie,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/29Z0yO3uFxjJlHzMbDoU6j?si=7290e98a4c1e4117
Give Me a Sign,BurningAurora,TherestheSnitch,Sirius Black/Remus Lupin,https://open.spotify.com/episode/5Fgd62M5QQRZ96QyWUREQF?si=726094e8f0d3432f
Give Me A Sign - TTS,BurningAurora,TherestheSnitch,Sirius Black/Remus Lupin,https://archiveofourown.org/works/49726165
glimpses of your universe,UnholyCrowley,MiaBrown,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41111637
Gloriana Set,EllaMcSmellBella,ThebeMoon,Hermione Granger/Draco Malfoy,https://open.spotify.com/episode/329Rn88qwHZSSxy7OgPnN8?si=e1bcd26fe2f54b22
Going to the Chapel - TTS,BurningAurora,R33sesPieces,Sirius Black/Remus Lupin,https://open.spotify.com/episode/297xaM97jEu4BKJ61P7v1d?si=5a62b8285e344eae
Good Dreams,DemonFeedAudio,thelonelywriter,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/40219776
Good Like That,EllaMcSmellBella,Amarillis39 and MissMrah,Theodore Nott/Harry Potter,https://archiveofourown.org/works/39362355
Good Little Soldiers,smirkingcat,MykEsprit,Draco Malfoy/Harry Potter,https://archiveofourown.org/works/16923663
Good Luck Kisses,ETL_Echo_Audiobooks,Musyc,Hermione Granger/Draco Malfoy,https://archiveofourown.org/works/41137809
